row,pl_name,st_name,st_num,pl_num,dis_met,dis_year,dis_loc,dic_fac,pl_orbper,pl_orb,pl_rade,pl_radj,pl_masse,pl_massj,pl_temp,st_spectype,st_temp,st_rad,st_mass,glat,glon,sy_dist,habit
4165,WASP-180 A b,WASP-180 A,2,1,Transit,2019,Ground,SuperWASP,3.409264,0.048,13.899,1.24,286.047,0.9,1540,F7 V,6600,1.19,1.3,17.22918,224.4447,253.985,0
4166,WASP-181 b,WASP-181,1,1,Transit,2019,Ground,SuperWASP,4.5195064,0.05427,13.271,1.184,95.03117,0.299,1186,G2,5839,0.96,1.04,-56.88622,149.0436,437.495,0
4167,WASP-182 b,WASP-182,1,1,Transit,2019,Ground,WASP-South,3.3769848,0.0451,9.528,0.85,47.03884,0.148,1479,G5,5638,1.34,1.08,-38.5878,359.5859,327.602,0
4168,WASP-183 b,WASP-183,1,1,Transit,2019,Ground,SuperWASP,4.1117771,0.04632,16.477,1.47,159.55066,0.502,1111,G9,5313,0.87,0.78,50.5283,253.0897,325.377,0
4169,WASP-184 b,WASP-184,1,1,Transit,2019,Ground,WASP-South,5.1817,0.0627,14.908,1.33,181.1631,0.57,1480,G0 V,6000,1.65,1.23,30.35902,319.5914,663.231,0
4170,WASP-185 b,WASP-185,1,1,Transit,2019,Ground,WASP-South,9.38755,0.0904,14.011,1.25,311.4734,0.98,1160,G0 V,5900,1.5,1.12,39.0081,328.9447,279.35,0
4171,WASP-186 b,WASP-186,1,1,Transit,2020,Ground,SuperWASP,5.026799,0.06,12.442,1.11,1341.2426,4.22,1369,F,6361,1.47,1.22,-40.89456,130.4854,278.514,0
4172,WASP-187 b,WASP-187,1,1,Transit,2020,Ground,SuperWASP,5.147878,0.0653,18.383,1.64,254.264,0.8,1760,F,6150,2.83,1.54,-37.00322,128.1419,371.414,0
4173,WASP-19 b,WASP-19,1,1,Transit,2009,Ground,SuperWASP,0.78883899,0.01634,15.603,1.392,339.76027,1.069,2520,,5568,1,0.9,6.775923,273.4055,268.325,0
4174,WASP-190 b,WASP-190,1,1,Transit,2019,Ground,WASP-South,5.367753,0.0663,12.89,1.15,317.83,1,1500,F6 IV-V,6400,1.6,1.35,-75.89805,319.183,542.251,0
4175,WASP-192 b,WASP-192,1,1,Transit,2019,Ground,WASP-South,2.8786765,0.0408,13.787,1.23,731.009,2.3,1620,G0 V,5910,1.32,1.09,18.11148,327.7775,508.885,0
4176,WASP-2 b,WASP-2,2,1,Transit,2007,Ground,SuperWASP,2.152175,0.03144,12.117,1.081,295.89973,0.931,1311,K1 V,5180,0.87,0.9,-18.71271,50.77389,153.242,0
4177,WASP-20 b,WASP-20,2,1,Transit,2015,Ground,SuperWASP,4.8996284,0.06,16.388,1.462,98.841,0.311,1379,F9,5940,1.39,1.2,-82.35673,55.91579,211.877,0
4178,WASP-21 b,WASP-21,1,1,Transit,2010,Ground,SuperWASP,4.322482,0.052,11.99,1.07,95.345,0.3,1340,G3 V,5800,1.06,1.01,-38.25645,91.7542,258.426,0
4179,WASP-22 b,WASP-22,1,1,Transit,2010,Ground,SuperWASP,3.53269,0.047,13.787,1.23,212.9461,0.67,1502,G1 V,6000,1.24,1.46,-53.92333,216.7962,317.652,0
4180,WASP-23 b,WASP-23,1,1,Transit,2010,Ground,SuperWASP,2.9444256,0.0376,10.783,0.962,280.95,0.884,,,5150,0.77,0.78,-19.2287,251.9265,207.49,0
4181,WASP-24 b,WASP-24,3,1,Transit,2010,Ground,SuperWASP,2.34121,0.03651,15.468,1.38,394.1092,1.24,1772,,6075,1.42,1.43,48.82966,1.862627,322.114,0
4182,WASP-25 b,WASP-25,1,1,Transit,2010,Ground,SuperWASP,3.76483,0.0473,11.994,1.07,139.8452,0.44,1210,,5750,0.8,0.67,35.29678,305.649,211.416,0
4183,WASP-26 b,WASP-26,2,1,Transit,2010,Ground,SuperWASP,2.7566,0.03985,13.563,1.21,270.1555,0.85,1650,,6034,1.22,0.86,-75.87135,88.35271,252.759,0
4184,WASP-28 b,WASP-28,1,1,Transit,2014,Ground,SuperWASP,3.40883,0.04469,13.597,1.213,288.26,0.907,1468,F8,6150,1.09,1.02,-58.48636,83.8602,348.494,0
4185,WASP-29 b,WASP-29,1,1,Transit,2010,Ground,SuperWASP,3.92273,0.0457,8.631,0.77,73.1009,0.23,970,,4800,0.79,0.77,-72.18171,343.3206,87.5953,0
4186,WASP-3 b,WASP-3,3,1,Transit,2007,Ground,SuperWASP,1.84683,0.0315,15.917,1.42,772.3269,2.43,2020,,6400,1.44,1.62,18.61113,64.17506,231.161,0
4187,WASP-31 b,WASP-31,1,1,Transit,2010,Ground,SuperWASP,3.4059096,0.04659,17.363,1.549,151.916,0.478,1575,,6302,1.25,1.16,38.53925,274.2257,383.829,0
4188,WASP-32 b,WASP-32,1,1,Transit,2010,Ground,SuperWASP,2.71866,0.0394,10.761,0.96,835.8929,2.63,,,6140,0.95,0.72,-60.40429,104.6851,275.994,0
4189,WASP-33 b,WASP-33,2,1,Transit,2010,Ground,SuperWASP,1.21987,0.0239,17.856,1.593,665.21819,2.093,2782,,7430,1.44,1.5,-21.55685,143.0969,121.944,0
4190,WASP-34 b,WASP-34,1,1,Transit,2010,Ground,SuperWASP,4.31768,0.0524,11.209,1,177.9848,0.56,1250,,5700,0.91,0.96,32.5319,272.9186,132.096,0
4191,WASP-35 b,WASP-35,1,1,Transit,2011,Ground,SuperWASP,3.16158,0.04317,14.572,1.3,225.6593,0.71,,,5990,1.08,1.05,-26.62058,206.0164,202.218,0
4192,WASP-36 b,WASP-36,2,1,Transit,2011,Ground,SuperWASP,1.53736596,0.02677,14.874,1.327,750.39663,2.361,1733,,5959,0.98,1.08,21.08884,234.3855,386.346,0
4193,WASP-37 b,WASP-37,1,1,Transit,2010,Ground,SuperWASP,3.577469,0.0446,13.002,1.16,572.07,1.8,,,5800,1,0.93,51.82291,354.7742,392.791,0
4194,WASP-38 b,WASP-38,1,1,Transit,2010,Ground,SuperWASP,6.87188,0.07522,13.787,1.23,1093.3352,3.44,1250,F8 V,6180,1.52,1.76,39.03281,23.52835,136.24,0
4195,WASP-39 b,WASP-39,1,1,Transit,2011,Ground,SuperWASP,4.055259,0.0486,14.235,1.27,88.989,0.28,1166,,5400,0.9,0.93,51.37111,344.4036,213.982,0
4196,WASP-4 b,WASP-4,1,1,Transit,2007,Ground,SuperWASP,1.33823147,0.0226,14.807,1.321,376.94638,1.186,1673,G8,5400,0.89,0.86,-68.29595,344.4933,267.206,0
4197,WASP-41 b,WASP-41,1,2,Transit,2012,Ground,SuperWASP,3.0524,0.04022,12.33,1.1,270.1555,0.85,1244,,5545,0.83,0.81,32.19223,300.6538,163.371,0
4198,WASP-41 c,WASP-41,1,2,Radial Velocity,2015,Ground,La Silla Observatory,421,1.07,13.1,1.17,1010.6994,3.18,241,,5545,0.87,0.93,32.19223,300.6538,163.371,0
4199,WASP-42 b,WASP-42,1,1,Transit,2012,Ground,SuperWASP,4.9816819,0.0561,12.576,1.122,167.49641,0.527,1021,,5315,0.89,0.95,20.79802,303.0288,177.291,0
4200,WASP-43 b,WASP-43,1,1,Transit,2011,Ground,SuperWASP,0.813475,0.0142,10.424,0.93,565.714,1.78,1427,K7 V,4400,0.6,0.58,37.86999,252.7868,86.7467,0
4201,WASP-44 b,WASP-44,1,1,Transit,2011,Ground,SuperWASP,2.423804,0.03453,12.33,1.1,276.5121,0.87,1337,G8 V,5420,0.91,0.94,-72.63929,92.23763,364.512,0
4202,WASP-45 b,WASP-45,2,1,Transit,2011,Ground,SuperWASP,3.126089,0.03963,10.604,0.946,306.38812,0.964,1153,K2 V,5150,0.85,0.85,-79.01557,337.2073,211.196,0
4203,WASP-46 b,WASP-46,1,1,Transit,2011,Ground,SuperWASP,1.43036763,0.02335,13.159,1.174,607.0553,1.91,1636,G6 V,5600,0.86,0.83,-42.07379,340.6978,375.31,0
4204,WASP-47 b,WASP-47,1,4,Transit,2012,Ground,SuperWASP,4.1591289,0.052,12.63,1.127,363.1,1.14243,1275,,5552,1.14,1.04,-48.18693,45.74817,264.78,0
4205,WASP-47 c,WASP-47,1,4,Radial Velocity,2015,Ground,La Silla Observatory,588.5,1.393,13.5,1.21,500,1.57,247,,5552,1.14,1.04,-48.18693,45.74817,264.78,0
4206,WASP-47 d,WASP-47,1,4,Transit,2015,Space,K2,9.03077,0.085,3.576,0.319,13.1,0.04122,,,5552,1.14,1.04,-48.18693,45.74817,264.78,0
4207,WASP-47 e,WASP-47,1,4,Transit,2015,Space,K2,0.789592,0.01673,1.81,0.161,6.83,0.02149,,,5552,1.14,1.04,-48.18693,45.74817,264.78,0
4208,WASP-48 b,WASP-48,1,1,Transit,2011,Ground,SuperWASP,2.14363,0.03444,16.814,1.5,254.264,0.8,2035,,5920,1.58,0.88,17.62726,86.88251,454.144,0
4209,WASP-49 b,WASP-49,2,1,Transit,2012,Ground,SuperWASP,2.78174,0.0379,12.442,1.11,117.5971,0.37,1400,G6 V,5600,0.97,0.92,-17.86018,223.265,194.553,0
4210,WASP-5 b,WASP-5,1,1,Transit,2008,Ground,SuperWASP,1.6284279,0.0267,12.184,1.087,502.15,1.58,1706,G4 V,5700,1.03,0.96,-72.01822,337.5935,309.137,0
4211,WASP-50 b,WASP-50,1,1,Transit,2011,Ground,SuperWASP,1.9551,0.0293,13.07,1.166,466.8287,1.4688,1395,,5400,0.84,0.89,-56.7894,189.6794,184.848,0
4212,WASP-52 b,WASP-52,1,1,Transit,2012,Ground,SuperWASP,1.7497798,0.0272,14.24,1.27,146.2,0.46,1315,K2 V,5000,0.79,0.87,-47.03834,86.18556,174.818,0
4213,WASP-53 b,WASP-53,1,2,Transit,2017,Ground,Multiple Facilities,3.3098443,0.04101,12.038,1.074,677.61356,2.132,1053,,4953,0.8,0.84,-71.44768,196.6404,201.338,0
4214,WASP-53 c,WASP-53,1,2,Radial Velocity,2017,Ground,Multiple Facilities,2840,3.73,,,5196.5205,16.35,,,4953,0.8,0.84,-71.44768,196.6404,201.338,0
4215,WASP-54 b,WASP-54,2,1,Transit,2012,Ground,SuperWASP,3.69364,0.04988,17.71,1.58,187.5197,0.59,1759,F9,6100,1.76,1.08,60.17522,328.9359,251.303,0
