row,pl_name,st_name,st_num,pl_num,dis_met,dis_year,dis_loc,dic_fac,pl_orbper,pl_orb,pl_rade,pl_radj,pl_masse,pl_massj,pl_temp,st_spectype,st_temp,st_rad,st_mass,glat,glon,sy_dist,habit
1,11 Com b,11 Com,2,1,Radial Velocity,2007,Ground,Xinglong Station,326.03,1.29,12.1,1.08,6165.6,19.4,,G8 III,4742,19,2.7,78.28055,264.1407,93.1846,0
2,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,516.21997,1.53,12.3,1.09,4684.8142,14.74,,K4 III,4213,29.79,2.78,41.04441,108.719,125.321,0
3,14 And b,14 And,1,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,185.84,0.83,12.9,1.15,1525.5,4.8,,K0 III,4813,11,2.2,-21.05067,106.4116,75.4392,0
4,14 Her b,14 Her,1,1,Radial Velocity,2002,Ground,W. M. Keck Observatory,1773.40002,2.93,12.9,1.15,1481.0878,4.66,,K0 V,5338,0.93,0.9,46.94491,69.17043,17.9323,0
5,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Ground,Multiple Observatories,798.5,1.66,13.5,1.2,565.7374,1.78,,G2.5 V,5750,1.13,1.08,13.20426,83.33649,21.1397,0
6,18 Del b,18 Del,2,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,993.3,2.6,12.5,1.11,3273.5,10.3,,G6 III,4979,8.5,2.3,-21.97489,58.69147,76.222,0
7,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Ground,Gemini Observatory,,330,18.647,1.664,3000,8,1700,K7 V,4060,1.31,0.85,22.03035,352.8906,139.135,0
8,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Ground,Okayama Astrophysical Observatory,30.3506,0.19,13.9,1.24,289.2253,0.91,,G3 IV,4893,10.64,0.99,60.64358,90.16227,95.9863,0
9,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Ground,Lick Observatory,452.8,1.333,13.4,1.19,632.46,1.99,,,5098,4.9,1.54,44.7157,245.0853,72.0691,0
10,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Ground,Lick Observatory,883,2.08,13.9,1.24,273.32,0.86,,,5098,4.9,1.54,44.7157,245.0853,72.0691,0
11,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Ground,Paranal Observatory,,84,12.3,1.1,4131.79,13,,M5.5/M6,,,0.19,-61.77612,299.2698,47.2,0
12,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,Ground,W. M. Keck Observatory,,52,11.209,1,7786.5,24.5,1600,M3.5 V,3530,0.37,0.4,-82.52019,195.4486,33.8281,0
13,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Ground,Cerro Tololo Inter-American Observatory,,156,16.141,1.44,4417.837,13.9,,M6,3064,0.28,0.11,-67.98402,252.4534,40.0896412,0
14,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Space,Hubble Space Telescope,,15,12.6,1.13,2383.6,7.5,,M8.5,,,0.02,-15.11435,176.5106,120.423987,0
15,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Ground,Paranal Observatory,,46,13,1.16,1271,4,1150,M8,2825,0.22,0.19,22.54324,293.7904,64.308,0
16,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,Space,Kepler,416,0.92,13.4,1.2,603.877,1.9,,,,,0.48,11.67429,79.01876,396.332,0
17,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,Ground,W. M. Keck Observatory,7336.5,,10.31,0.92,6657.48,20.95,2075,M8.5,2300,0.12,0.08,-26.43736,70.48455,33.1156898,0
18,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,Ground,W. M. Keck Observatory,,230,12.3,1.1,3972.875,12.5,,K7 V,4045,,0.6,-9.108981,100.7483,69.5737,0
19,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,335.10001,0.99,12.3,1.1,4392.4106,13.82,,F6 V,6331,1.41,1.93,-32.30954,151.4761,44.657,0
20,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Ground,Thueringer Landessternwarte Tautenburg,269.3,0.87,12.7,1.13,2256.5,7.1,,K1 III,4415,18.11,1.23,35.95683,151.3589,73.4603,0
21,42 Dra b,42 Dra,2,1,Radial Velocity,2008,Ground,Thueringer Landessternwarte Tautenburg,479.1,1.19,13,1.16,1233.13,3.88,,K1.5 III,4200,22.03,0.98,27.1255,95.41918,90.6545,0
22,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Ground,Lick Observatory,1078,2.1,13.2,1.18,804.08,2.53,,G1 V,5872,1.21,1.06,63.36906,175.7824,13.7967,0
23,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Ground,Lick Observatory,2391,3.6,14.2,1.27,171.621,0.54,,G1 V,5872,1.21,1.06,63.36906,175.7824,13.7967,0
24,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Ground,Lick Observatory,14002,11.6,13.5,1.2,521.22,1.64,,,5872,1.21,1.06,63.36906,175.7824,13.7967,0
25,51 Eri b,51 Eri,3,1,Imaging,2015,Ground,Gemini Observatory,11688,12,13.4,1.19,635.66,2,700,F0 IV,7295,1.49,1.65,-30.65766,198.6126,29.7575,0
26,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Ground,Haute-Provence Observatory,4.230785,0.0527,14.3,1.27,146.2018,0.46,,,5758,1.18,1.03,-34.72726,90.06264,15.4614,0
27,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Ground,Lick Observatory,14.65152,0.115227,13.9,1.24,263.9785,0.8306,700,G8 V,5250,0.96,0.95,37.6989,196.7947,12.5855,0
28,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,44.4175,0.241376,8.51,0.76,54.4738,0.1714,,,5250,0.96,0.95,37.6989,196.7947,12.5855,0
29,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Ground,Lick Observatory,4825,5.503,13,1.16,1232.493,3.878,,G8 V,5250,0.96,0.95,37.6989,196.7947,12.5855,0
30,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0.736539,0.01544,1.91,0.17,8.08,0.02542,1958,G8 V,5250,0.96,0.9,37.6989,196.7947,12.5855,0
31,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Ground,Multiple Observatories,262,0.788,7.59,0.677,44.812,0.141,,,5250,0.96,0.95,37.6989,196.7947,12.5855,0
32,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,934.3,2.11,13.4,1.19,638.8383,2.01,,K0 IV,4938,5.2,1.44,20.18979,156.9714,54.6599,0
33,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Ground,Multiple Observatories,4.215,0.050201,2.11,0.188,5.1,0.016,,G5 V,5577,0.96,0.94,44.09261,311.8591,8.50332,0
34,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Ground,Multiple Observatories,38.021,0.2175,4.46,0.398,18.2,0.057,,G5 V,5577,0.96,0.94,44.09261,311.8591,8.50332,0
35,61 Vir d,61 Vir,1,3,Radial Velocity,2009,Ground,Multiple Observatories,123.01,0.476,5.11,0.456,22.9,0.072,,G5 V,5577,0.96,0.94,44.09261,311.8591,8.50332,0
36,7 CMa b,7 CMa,1,2,Radial Velocity,2011,Ground,Anglo-Australian Telescope,735.1,1.758,13.4,1.2,587.9855,1.85,,K1 III,4826,4.87,1.34,-11.79608,228.6884,19.8101,0
37,7 CMa c,7 CMa,1,2,Radial Velocity,2019,Ground,Multiple Observatories,996,2.153,13.9,1.24,276.5121,0.87,,,4826,4.87,1.34,-11.79608,228.6884,19.8101,0
38,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Ground,Lick Observatory,116.688,0.481,12.6,1.13,2380.45,7.49,,,5495,1.89,1.09,74.10069,337.6654,17.9011,0
39,75 Cet b,75 Cet,2,1,Radial Velocity,2012,Ground,Okayama Astrophysical Observatory,691.9,2.1,13.1,1.17,953.49,3,,G3 III,4846,10.5,2.49,-54.4416,169.9442,82.9613,0
40,8 UMi b,8 UMi,1,1,Radial Velocity,2015,Ground,Bohyunsan Optical Astronomical Observatory,93.4,0.49,13.6,1.22,416.3573,1.31,,K0,4847,10.3,1.44,39.66104,112.795,162.552,0
41,81 Cet b,81 Cet,1,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,952.7,2.5,12.8,1.14,1684.4,5.3,,G5 III,4785,11,2.4,-55.24994,174.4865,101.26,0
42,91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Ground,Lick Observatory,181.4,0.7,13.1,1.17,1017,3.2,,K0 III,4665,11,1.4,-61.11204,67.07209,44.0304,0
43,AB Pic b,AB Pic,1,1,Imaging,2005,Ground,Paranal Observatory,,260,12.3,1.1,4290.5,13.5,,K2 V,,,,-26.9309,266.9437,50.0475,0
44,AU Mic b,AU Mic,1,1,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),8.46321,0.066,4.203,0.375,57.2094,0.18,,,3700,0.75,0.5,-36.8025,12.65461,9.7221,0
45,BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Ground,Multiple Observatories,481.9,1.3,12.7,1.13,2034.112,6.4,,,4095,32.35,1.14,61.57347,269.3253,1070.63,0
46,BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,Ground,McDonald Observatory,268.94,0.78,13.8,1.23,330.5432,1.04,,K2 V,4864,0.86,0.49,-22.63093,64.41769,49.352,0
47,BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Ground,Roque de los Muchachos Observatory,153.22,0.576,13.8,1.23,337.21763,1.061,,,4649,8.95,1.08,70.27257,249.0023,768.045,0
48,BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,Ground,McDonald Observatory,137.48,0.539,13.7,1.23,352.78,1.11,,K0,4796,14.7,1.1,44.78024,28.10452,426.42,0
49,BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,Ground,McDonald Observatory,379.63,1.05,11.6,1.03,17668.1697,55.59,,K2 II,4259,71.02,10.83,53.95245,216.0446,1539.71,0
50,BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,Ground,McDonald Observatory,621.99,2.01,12.4,1.1,3963.17,12.47,,K2 II,4137,49,2.8,53.95245,216.0446,1539.71,0
51,BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,Ground,McDonald Observatory,578.2,1.3,13,1.16,1334.886,4.2,,K5 III,4296,17.3,0.8,-40.23344,138.9742,1322.51,0
52,BD+20 594 b,BD+20 594,1,1,Transit,2016,Space,K2,41.6855,0.241,2.578,0.23,22.2481,0.07,546,G,5766,1.08,1.67,-28.05341,166.7963,179.461,0
53,BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,Ground,McDonald Observatory,392.6,1,13.9,1.24,289.2253,0.91,,K0 III,4414,11,0.74,-9.378678,140.8085,871.493,0
54,BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Ground,Multiple Observatories,733,1.7,13.5,1.2,540.311,1.7,,,4534,10.33,1.09,-9.965327,141.1091,666.589,0
55,BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,Ground,McDonald Observatory,2590,4.2,13.5,1.21,508.5,1.6,,K0,4943,7.6,1.52,-7.801708,143.6179,442.042,0
56,BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,Ground,La Silla Observatory,3.8728,0.0428,2.85,0.254,8.5,0.027,,K7/M0 V,4324,,0.7,-15.71535,211.6566,20.2695,0
57,BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,Ground,La Silla Observatory,125.94,0.435,8.38,0.747,53,0.17,,K7/M0 V,4324,,0.7,-15.71535,211.6566,20.2695,0
58,BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,Ground,La Silla Observatory,5.6,0.06,3.61,0.322,12.7132,0.04,,K3 V,4816,0.71,0.5,34.75598,248.4966,41.3342,0
59,BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,Ground,La Silla Observatory,237.6,0.68,12.5,1.11,104,0.33,,K3 V,4746,,0.74,34.75598,248.4966,41.3342,0
60,BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,Ground,W. M. Keck Observatory,3.48777,0.04,14.1,1.26,187.5197,0.59,,K0 V,5393,0.91,1.47,43.23842,263.2855,84.4069,0
61,BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,Ground,La Silla Observatory,1634,2.36,14.1,1.25,206.5895,0.65,,K7 V,4550,0.64,0.65,-1.360227,20.54434,27.1665,0
62,BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,Ground,Roque de los Muchachos Observatory,74.2,0.3,4.04,0.36,15.37,0.04836,,,4550,0.64,0.65,-1.360227,20.54434,27.1665,0
63,BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,Ground,La Silla Observatory,714.29999,1.66,12.5,1.11,3108.3774,9.78,,,4545,19.17,2.12,3.53128,230.5205,925.214,0
64,BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,Ground,La Silla Observatory,655.6,1.34,12.8,1.15,1620.9,5.1,,K5 V,4714,0.69,0.74,-77.878,95.83883,34.4603,0
65,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,Ground,W. M. Keck Observatory,10037.5,2.6,12.4,1.11,3337.1,10.5,370,,580.5,,0.02,55.6550909,9.594193,23.1,0
66,CHXR 73 b,CHXR 73,1,1,Imaging,2006,Space,Hubble Space Telescope,,210,12.3,1.1,3994.486,12.569,,M3.5,,,0.35,-15.92177,297.2777,190.374,0
67,CI Tau b,CI Tau,1,1,Radial Velocity,2019,Ground,Multiple Observatories,8.9891,,12.4,1.11,3686.828,11.6,,K7,,,0.9,-16.63606,175.4643,157.998,0
68,CT Cha b,CT Cha,1,1,Imaging,2007,Ground,Paranal Observatory,,440,24.66,2.2,5403,17,2600,,,,,-14.90925,296.6537,190.72,0
69,CoRoT-1 b,CoRoT-1,1,1,Transit,2008,Space,CoRoT,1.5089557,0.02752,16.7,1.49,327.35,1.03,1898,G0 V,5950,1.11,0.95,-2.107101,215.3388,787.909,0
70,CoRoT-10 b,CoRoT-10,1,1,Transit,2010,Space,CoRoT,13.2406,0.1055,10.87,0.97,874,2.75,600,K1 V,5075,0.79,0.89,-6.95296,37.36079,338.386,0
71,CoRoT-11 b,CoRoT-11,1,1,Transit,2010,Space,CoRoT,2.99433,0.0436,16.03,1.43,740.51,2.33,1657,F6 V,6440,1.37,1.27,4.630068,37.24011,655.037,0
72,CoRoT-12 b,CoRoT-12,1,1,Transit,2010,Space,CoRoT,2.828042,0.04016,16.14,1.44,291.438,0.917,1442,,5675,1.12,1.08,-2.454414,213.1315,1126.37,0
73,CoRoT-13 b,CoRoT-13,1,1,Transit,2010,Space,CoRoT,4.03519,0.051,9.92,0.885,415.704,1.308,1700,G0 V,5945,1.01,1.09,-2.439665,217.3986,1148.93,0
74,CoRoT-14 b,CoRoT-14,1,1,Transit,2010,Space,CoRoT,1.51214,0.027,12.22,1.09,2415.4,7.6,1952,F9 V,6035,1.21,1.13,-2.020584,218.1179,1744.6,0
75,CoRoT-16 b,CoRoT-16,1,1,Transit,2011,Space,CoRoT,5.35227,0.0618,13.11,1.17,170.032,0.535,,G5 V,5650,1.19,1.1,1.101121,25.61436,732.409,0
76,CoRoT-17 b,CoRoT-17,1,1,Transit,2011,Space,CoRoT,3.7681,0.0461,11.43,1.02,772.29,2.43,1626,G2 V,5740,1.59,1.04,0.6663113,25.15303,1176.12,0
77,CoRoT-18 b,CoRoT-18,1,1,Transit,2011,Space,CoRoT,1.9000693,0.0295,14.68,1.31,1102.82,3.47,1550,G9 V,5440,1,0.95,-4.18491,210.8191,764.889,0
78,CoRoT-19 b,CoRoT-19,1,1,Transit,2011,Space,CoRoT,3.89713,0.0518,14.46,1.29,352.78,1.11,2000,F9 V,6090,1.65,1.21,-5.261257,210.4205,790.663,0
79,CoRoT-2 b,CoRoT-2,2,1,Transit,2008,Space,CoRoT,1.7429935,0.02798,16.432,1.466,1102.82,3.47,1521,,5625,0.91,0.96,-7.291006,38.26271,213.283,0
80,CoRoT-20 b,CoRoT-20,1,2,Transit,2011,Space,CoRoT,9.24285,0.09,9.416,0.84,1366.669,4.3,1024,G2 V,5880,1.02,1.14,-4.468593,210.3812,844.061,0
81,CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,Ground,Multiple Observatories,1675,2.9,12.2,1.09,5403.11,17,,,,,1.14,-4.468593,210.3812,844.061,0
82,CoRoT-21 b,CoRoT-21,1,1,Transit,2012,Space,CoRoT,2.72474,0.0417,14.572,1.3,718.2958,2.26,,F8 IV,6200,1.95,1.29,-1.744431,212.3742,1398.834197,0
83,CoRoT-22 b,CoRoT-22,1,1,Transit,2014,Space,CoRoT,9.75598,0.092,4.88,0.435,12.2,0.038,885,G3 V,5939,1.14,1.1,4.775004,37.48306,627.158,0
84,CoRoT-23 b,CoRoT-23,1,1,Transit,2011,Space,CoRoT,3.6313,0.048,11.77,1.05,889.9,2.8,1660,G0 V,5900,1.61,1.14,4.719595,35.41752,1060.97,0
85,CoRoT-24 b,CoRoT-24,1,2,Transit,2014,Space,CoRoT,5.1134,0.056,3.7,0.33,5.7,0.018,1070,K1 V,4950,0.86,0.91,-2.527633,215.8175,591.555,0
86,CoRoT-24 c,CoRoT-24,1,2,Transit,2014,Space,CoRoT,11.759,0.098,5,0.44,28,0.088,850,K1 V,4950,0.86,0.91,-2.527633,215.8175,591.555,0
87,CoRoT-25 b,CoRoT-25,1,1,Transit,2013,Space,CoRoT,4.86069,0.0578,12.11,1.08,85.81,0.27,1330,F9,6040,1.19,1.09,4.941121,37.73014,1103.48,0
88,CoRoT-26 b,CoRoT-26,1,1,Transit,2013,Space,CoRoT,4.20474,0.0526,14.12,1.26,165.26,0.52,1600,G5,5590,1.79,1.09,5.925996,37.74457,1045.18,0
89,CoRoT-27 b,CoRoT-27,1,1,Transit,2014,Space,CoRoT,3.57532,0.0476,11.287,1.007,3302.11,10.39,1500,G2,5900,1.08,1.05,6.396508,35.89459,1010.28,0
90,CoRoT-28 b,CoRoT-28,1,1,Transit,2015,Space,CoRoT,5.20851,0.0603,10.705,0.955,153.82972,0.484,,G8/9 IV,5150,1.78,1.01,6.241298,36.01308,766.183,0
91,CoRoT-29 b,CoRoT-29,1,1,Transit,2015,Space,CoRoT,2.85057,0.0386,10.088,0.9,270.1555,0.85,,K0 V,5260,0.9,0.97,6.458735,36.92342,806.507,0
92,CoRoT-3 b,CoRoT-3,1,1,Transit,2008,Space,CoRoT,4.2568,0.05783,11.32,1.01,6883.91,21.66,1695,F3 V,6740,1.56,1.37,-8.120639,37.26301,768.771,0
93,CoRoT-30 b,CoRoT-30,1,1,Transit,2020,Space,CoRoT,9.06005,0.0844,11.31,1.009,921.707,2.9,,G3 V,5650,0.91,0.98,7.773544,36.66097,1032.23,0
94,CoRoT-31 b,CoRoT-31,1,1,Transit,2020,Space,CoRoT,4.62941,0.0586,16.365,1.46,266.9772,0.84,,G2 IV,5700,2.15,1.25,-9.16321,213.2249,2005.76,0
95,CoRoT-4 b,CoRoT-4,1,1,Transit,2008,Space,CoRoT,9.20205,0.09,13.34,1.19,228.83,0.72,1074,,6190,1.17,1.16,-0.8984463,213.2276,726.412,0
96,CoRoT-5 b,CoRoT-5,1,1,Transit,2009,Space,CoRoT,4.0378962,0.04947,15.558,1.388,148.42,0.467,1438,F9 V,6100,1.19,1,-1.036167,211.4847,882.472,0
97,CoRoT-6 b,CoRoT-6,1,1,Transit,2009,Space,CoRoT,8.886593,0.0855,13.068,1.166,940.74,2.96,1017,F9 V,6090,1.02,1.05,4.61582,38.06303,645.294,0
98,CoRoT-7 b,CoRoT-7,1,2,Transit,2009,Space,CoRoT,0.85359163,0.017016,1.681,0.15,4.07661,0.01283,1756,G9 V,5275,0.83,0.82,-2.178573,213.0104,159.906,0
99,CoRoT-7 c,CoRoT-7,1,2,Radial Velocity,2009,Space,CoRoT,3.698,0.046,2.83,0.253,8.4,0.02643,,,5256,0.86,0.9,-2.178573,213.0104,159.906,0
100,CoRoT-8 b,CoRoT-8,1,1,Transit,2010,Space,CoRoT,6.21229,0.063,6.39,0.57,69.92,0.22,870,K1 V,5080,0.77,0.88,-7.104142,38.21296,322.037,0
101,CoRoT-9 b,CoRoT-9,2,1,Transit,2009,Space,CoRoT,95.272656,0.4021,11.949,1.066,266.9772,0.84,420,G3 V,5625,0.96,0.96,4.662142,37.52343,412.98,0
102,CoRoTID 223977153 b,CoRoTID 223977153,1,1,Transit,2017,Space,CoRoT,6.71837,0.071,6.389,0.57,47.6745,0.15,938,G0 VI,5970,0.79,1.08,1.86374,203.4824,576.683,0
103,DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,Ground,Multiple Facilities,4098.1,5.75,12.4,1.1,3823.2733,12.0293,,,,,0.51,70.27699,104.2862,30.5225,0
104,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,Ground,Paranal Observatory,246.36,0.36,11.9,1.06,9057.77,28.5,,L1.5,,,0.07,-6.826685,265.6164,20.77,0
105,DH Tau b,DH Tau,1,1,Imaging,2004,Ground,Subaru Telescope,,330,30.264,2.7,3496,11,2200,M0.5,4371,0.27,0.33,-14.93884,171.8995,134.846,0
106,DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,Ground,La Silla Observatory,18.57,0.1462,5.29,0.472,24.27,0.07636,877,F8 V,6196,1.26,1.21,-19.05298,215.3585,62.5388,0
107,DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,Ground,La Silla Observatory,6.584,0.0733,3.06,0.273,9.6,0.0302,1239,F8 V,6196,1.26,1.21,-19.05298,215.3585,62.5388,0
108,DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,Ground,La Silla Observatory,2.882,0.0422,1.65,0.147,3.35,0.01054,1632,F8 V,6196,1.26,1.21,-19.05298,215.3585,62.5388,0
109,DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,Ground,La Silla Observatory,5.516,0.0651,1.86,0.166,4.13,0.01299,1314,F8 V,6196,1.26,1.21,-19.05298,215.3585,62.5388,0
110,DMPP-2 b,DMPP-2,1,1,Radial Velocity,2019,Ground,Multiple Facilities,5.2072,0.0664,14.3,1.28,138.89171,0.437,1000,F5 V,6500,1.78,1.44,-75.53408,246.9225,137.94,0
111,DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,Ground,La Silla Observatory,6.6732,0.0662,1.41,0.126,2.58,0.00812,854,K0 V,5138,0.91,0.87,-29.1444896,283.2096919,45.23,0
112,DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,Ground,Yunnan Astronomical Observatory,10220,8.19,12.7,1.14,1995.88832,6.28,,,,,0.69,66.45645,230.8965,305.684,0
113,DS Tuc A b,DS Tuc A,2,1,Transit,2019,Space,Transiting Exoplanet Survey Satellite (TESS),8.138268,,5.7,0.509,413.179,1.3,850,G6 V,5428,0.96,1.01,-46.63369,312.1021,44.0622,0
114,EPIC 201170410.02,EPIC 201170410,1,1,Transit,2020,Space,K2,6.7987,0.0349,1.047,0.093,1.15,0.0036,,,3648,0.28,0.29,51.24574,264.9952,134,0
115,EPIC 201238110 b,EPIC 201238110,1,1,Transit,2019,Space,K2,28.1656,,1.87,0.167,4.16,0.0131,,,,0.37,0.41,56.94671,278.3186,159.259,0
116,EPIC 201497682 b,EPIC 201497682,1,1,Transit,2019,Space,K2,2.13174,,0.692,0.062,0.26,0.00082,,,,0.55,0.78,54.824,258.1937,253.026,0
117,EPIC 201615463 c,K2-166,1,2,Transit,2019,Space,K2,3.80464,,1.22,0.109,1.98,0.00624,,,,,1.07,64.09021,285.1586,476.882,0
118,EPIC 201754305 d,K2-16,1,3,Transit,2019,Space,K2,2.71578,,1.03,0.092,1.08,0.0034,,,,,0.67,61.77707,262.9119,334.967,0
119,EPIC 201757695.02,EPIC 201757695,1,1,Transit,2020,Space,K2,2.0478,0.0296,0.908,0.081,0.688,0.00217,,,4520,0.66,0.73,61.14789,260.8806,577.6,0
120,EPIC 201833600 c,K2-50,1,2,Transit,2019,Space,K2,3.96151,,1,0.089,0.972,0.00306,,,,0.63,0.61,59.32253,252.2711,257.443,0
121,EPIC 201841433 b,EPIC 201841433,1,1,Transit,2019,Space,K2,4.1698,0.035,1.04,0.093,1.12,0.00352,,,5053,0.63,0.8,63.11982,261.1059,436.488,0
122,EPIC 205950854 c,K2-168,1,2,Transit,2019,Space,K2,8.050722,,1.31,0.117,2.27,0.00714,961,,5502.7,0.83,0.88,-51.71317,40.91085,243.935,0
123,EPIC 206024342 b,EPIC 206024342,1,1,Transit,2019,Space,K2,4.50756,,1.7,0.152,3.53,0.0111,,,,0.82,0.93,-49.18712,42.94389,369.888,0
124,EPIC 206032309 b,EPIC 206032309,1,1,Transit,2019,Space,K2,2.87814,,1.01,0.09,1.01,0.00317,,,,,0.22,-57.69609,50.70299,161.365,0
125,EPIC 206042996 b,EPIC 206042996,1,1,Transit,2019,Space,K2,5.29711,,1.62,0.145,3.26,0.0102,,,,0.67,0.56,-54.37582,48.06543,451.769,0
126,EPIC 206215704 b,EPIC 206215704,1,1,Transit,2019,Space,K2,2.25372,,0.9,0.08,0.666,0.0021,,,,0.37,0.41,-50.2849,51.97482,109.888,0
127,EPIC 206317286 b,EPIC 206317286,1,1,Transit,2019,Space,K2,1.58252,,0.96,0.086,0.84,0.00264,,,,0.67,0.71,-51.54455,56.17007,314.35,0
128,EPIC 211822797 b,EPIC 211822797,1,1,Transit,2016,Space,K2,21.169861,0.131,1.98,0.177,4.58,0.0144,,,4148.21,0.57,0.66,32.03755,208.283,186.197,0
129,EPIC 211945201 b,EPIC 211945201,1,1,Transit,2018,Space,K2,19.49221,0.1493,5.76,0.514,27,0.08495,817,G0,6069,1.39,1.17,38.12763,208.7818,181.69,0
130,EPIC 212297394 b,EPIC 212297394,1,1,Transit,2019,Space,K2,2.28943,,1.323,0.118,2.31,0.00727,,,,0.75,0.83,43.1473,321.8193,418.395,0
131,EPIC 212424622 b,EPIC 212424622,1,1,Transit,2019,Space,K2,18.0983,,2.17,0.194,5.35,0.0168,,,,1.22,1.11,47.50558,316.5826,611.804,0
132,EPIC 212499991 b,EPIC 212499991,1,1,Transit,2019,Space,K2,34.885,,1.6,0.143,3.19,0.01,,,,,0.91,49.05582,317.3487,283.29,0
133,EPIC 212587672 b,EPIC 212587672,1,1,Transit,2019,Space,K2,15.2841,,1.12,0.1,1.46,0.00459,,,,0.98,0.95,50.09512,322.4171,320.07,0
134,EPIC 212737443 b,EPIC 212737443,1,2,Transit,2019,Space,K2,13.603,0.098,2.586,0.231,7.2,0.0227,536,K3,4684,0.67,0.69,53.83832,322.2711,336.25,0
135,EPIC 212737443 c,EPIC 212737443,1,2,Transit,2019,Space,K2,65.55,0.28,2.69,0.24,7.7,0.0242,316,K3,4684,0.67,0.69,53.83832,322.2711,336.25,0
136,EPIC 220554210 c,K2-282,1,2,Transit,2019,Space,K2,0.70531,,1.48,0.132,2.79,0.00879,,,,1.01,0.94,-54.87205,123.9173,496.289,0
137,EPIC 220674823 b,EPIC 220674823,1,2,Transit,2016,Space,K2,0.571331,0.0134,1.82,0.162,7.72,0.02429,2119,G5,5617,0.98,0.97,-52.07645,123.284,244.59,0
