name,orbit,orbit_period,star_brightness,star_temp,temp,radius_e,mass_e,density,discovered
HD 142022 A b,2.93,1928,7.7,5421,,,1411.1652,,2005
pi Men c,0.06839,6.2679,5.67,6037,1170,2.042,4.82,2.97,2018
HD 39091 b,3.1,2093.07,5.67,6037,,,3184.6566,,2001
HD 137388 b,0.89,330,8.696,5181,,,63.566,,2011
GJ 3021 b,0.49,133.71,6.59,5540,350,,1071.04,,2000
HD 63454 b,0.04,2.81805,9.37,4812,,,79.4575,,2005
HD 212301 b,0.03,2.24571,7.764,6239,,,162.0933,,2005
HD 97048 b,130,,8.447,10000,,,794.575,,2019
CHXR 73 b,210,,,,,,3994.486,,2006
HD 221420 b,18.5,22482,5.81,5830,,,3082.951,,2019
TOI-157 b,0.03138,2.0845435,12.73,5404,1588,14.415,375.0394,0.686,2020
CT Cha b,440,,,,2600,24.66,5403,,2007
HD 2685 b,0.0568,4.12688,,6801,2061,16.141,371.8611,,2019
HD 196067 b,5.02,3638,6.03,6017,,,2192.9,,2012
TOI-169 b,0.03524,2.2554477,12.36,5880,1715,12.173,251.40353,0.76,2020
HD 68402 b,2.18,1103,9.11,5950,,,975.7381,,2016
HD 38283 b,1.02,363.20001,6.696,5981,,,127.132,,2010
TOI-150.01,0.07037,5.857487,,6255,1405,14.067,797.7533,1.68,2019
HD 131664 b,3.17,1951,8.128,5892,,,6076.9096,,2008
DMPP-3 A b,0.0662,6.6732,9.066,5138,854,,2.58,,2019
HD 20003 c,0.1964,33.9239,8.39,5494,,,14.44,,2019
HD 20003 b,0.0974,11.8482,8.39,5494,,,11.66,,2019
TOI-163 b,0.058,4.231306,,6495,1669,16.69,387.7526,0.49,2019
HD 108341 b,2,1129,9.36,5122,,,1112.4,,2014
HD 222076 b,1.83,871,7.459,4806,,,495.8148,,2016
HD 100546 b,53,,6.704,10500,,77.342,,,2014
WASP-91 b,0.037,2.798581,12,4920,1160,11.545,425.8922,1.59,2017
HD 216437 b,2.497,1334.28,6.057,5909,,,706.53609,,2002
HD 24085 b,0.034,2.0455,7.564,6034,,,11.8,,2019
HD 175167 b,2.4,1290,8.01,5635,,,2850.9351,,2009
WASP-126 c,,7.63,10.8,5800,,,64.2,,2019
WASP-126 b,,3.28883,10.8,5800,,,90.3,,2016
DS Tuc A b,,8.138268,8.469,5428,850,5.7,,,2019
LHS 3844 b,0.00622,0.46292913,15.26,3036,805,1.303,,,2019
HD 129445 b,2.9,1840,8.8,,,,508.507,,2009
HD 95086 b,55.7,,7.36,,1000,,1589,,2013
HD 111232 b,1.97,1143,7.59,5512,,,2269.3062,,2003
L 98-59 c,0.0317,3.6904,11.685,3412,517,1.35,2.42,5.4,2019
L 98-59 b,0.02282,2.2531,11.685,3412,610,0.8,1.01,12.7,2019
L 98-59 d,0.0506,7.4512,11.685,3412,409,1.57,2.31,3.3,2019
HD 11977 b,1.93,711,4.69,4970,,,2080,,2005
HD 76920 b,1.149,415.4,7.817,4698,,,1249.0719,,2017
HD 76700 b,0.05,3.97097,8.155,5644,,,66.7443,,2002
TOI-125 d,0.137,19.98,10.892,5320,638,2.93,13.6,2.98,2020
TOI-125 c,0.0814,9.15059,10.892,5320,828,2.759,6.63,1.73,2019
TOI-125 b,0.05186,4.65382,10.892,5320,1037,2.726,9.5,2.57,2019
POTS-1 b,0.03734,3.1606296,17.94,4400,,10.548,734.16,,2013
HD 181433 d,3,2172,8.4,4918,,,171,,2008
HD 181433 b,0.08,9.3743,8.4,4918,,,6.3566,,2008
HD 181433 c,1.76,962,8.4,4918,,,203,,2008
HD 1397 b,0.1097,11.53533,7.781,5521,1228,11.5,131.89945,0.477,2018
WD 0806-661 b,2500,,,,323,,2383.6,,2011
HD 175607 b,,29.01,8.61,5392,,,8.98,,2015
HD 7199 b,1.36,615,8.027,5371,,,85.8141,,2011
MASCARA-4 b,0.047,2.82406,8.19,7800,2100,17.15,985.273,,2020
HD 4308 b,0.12,15.56,6.56,5686,,,15.8915,,2005
HIP 63242 b,0.565,124.6,6.871,4830,,,2917.56,,2013
TOI-700 b,0.0677,9.97702,13.072,3461,417,1.037,,,2020
TOI-700 c,0.0929,16.05111,13.072,3461,356,2.65,,,2020
TOI-700 d,0.1633,37.42475,13.072,3461,269,1.144,,,2020
WASP-119 b,0.0363,2.49979,12.2,5650,1600,15.693,390.9309,0.7,2016
HD 25171 b,2.971,1802.29,7.782,6125,,,290.81445,,2010
TYC 8998-760-1 c,320,,11.13,,1240,12.33,1906.98,,2020
TYC 8998-760-1 b,162,,11.13,,,,4449.62,,2020
HIP 107773 b,0.72,144.3,5.62,4945,,,629.3034,,2015
HD 190984 b,5.5,4885,8.76,5988,,,985.2,,2009
TOI-837 b,,8.3248762,10.635,6047,,8.631,381.396,,2020
WASP-100 b,,2.84938,,6900,,14.908,400.4658,,2014
HD 108147 b,0.102,10.8985,6.995,6265,,,82.95,,2002
WASP-62 b,,4.41195,10.3,6230,,14.796,165.2716,,2012
HD 65216 b,1.301,577.6,7.964,5612,,,411.58985,,2003
HD 65216 c,5.75,5370,7.964,5612,,,645.1949,,2013
HATS-35 b,0.03199,1.8209993,12.56,6300,2037,16.41,388.38826,0.484,2016
HD 21749 c,0.0695,7.78993,7.87,4640,701,0.892,3.7,31.93,2019
GJ 143 b,0.1915,35.61253,7.87,4640,422,2.61,22.7,7,2019
TOI-216.02,0.1293,17.089,12.324,5026,628,7.69,30,0.34,2019
TOI-216.01,0.2069,34.556,12.324,5026,497,11.29,200,0.76,2019
HD 23472 b,0.121,17.667,9.724,,,1.872,17.92,,2019
HD 23472 c,0.17,29.625,9.724,,,2.149,17.18,,2019
HD 219077 b,6.22,5501,6.12,5362,,,3302.11,,2012
Proxima Cen b,0.0485,11.186,11.11,3050,234,,1.27,,2016
HATS-34 b,0.03166,2.1061607,13.849,5380,1445,16.029,299.07803,0.4,2016
OGLE-TR-211 b,0.051,3.67724,,6325,,15.244,327.351,,2007
OGLE-TR-132 b,0.03035,1.689868,15.72,6210,2013,13.45,375.02,0.85,2004
HATS-71 b,0.03745,3.7955202,,3405,587,11.478,117.5971,0.42,2020
HATS-24 b,0.0238,1.3484978,12.83,6125,2166,15.637,718.2958,1.03,2017
HD 147018 b,0.2388,44.236,8.3,5441,,,674,,2009
HD 147018 c,1.922,1008,8.3,5441,,,2080,,2009
HD 224538 b,2.28,1189.1,8.06,6097,,,1897.4451,,2016
OGLE-TR-113 b,0.02289,1.4324752,14.42,4790,,12.251,400.449,1.2,2004
HD 134060 b,0.0444,3.2696,6.29,5966,,,10.1,,2019
HD 134060 c,2.3928,1291.5646,6.29,5966,,,29.29,,2019
OGLE-TR-111 b,0.0473,4.0144463,15.55,5040,,11.422,,,2004
OGLE2-TR-L9 b,0.0308,2.4855335,,6933,,18.046,1430.175,,2008
OGLE-TR-182 b,0.051,3.9791,,5924,,12.666,320.995,,2007
TOI-813 b,0.423,83.8911,10.322,5907,610,6.71,,,2020
HATS-69 b,0.03211,2.2252577,13.945,5137,1296,10.593,183.38791,0.46,2018
TIC 237913194 b,0.1207,15.168865,12.144,5788,974,12.52,617.22586,1.847,2020
HD 196050 b,2.51,1378,7.5,5879,,,1010.6994,,2002
HD 10180 h,3.381,2205,7.321,5911,,,65.66368,,2010
HD 10180 g,1.427,604.67,7.321,5911,,,23.26516,,2010
HD 10180 f,0.4929,122.744,7.321,5911,,,22.94733,,2010
HD 10180 e,0.2699,49.748,7.321,5911,,,25.58532,,2010
HD 10180 d,0.12859,16.357,7.321,5911,,,12.01397,,2010
HD 10180 c,0.06412,5.75969,7.321,5911,,,13.22173,,2010
WASP-164 b,0.02818,1.7771255,,5806,1610,12.644,676.9779,1.96,2018
HR 2562 b,20.3,,6.11,,1200,12.442,9534.9,,2016
HD 142415 b,1.06,386.29999,7.327,5940,,,530.7761,,2003
HD 23127 b,2.37,1211.17,8.576,5843,,,485.32641,,2006
L 168-9 b,0.02091,1.4015,11.014,3800,965,1.39,4.6,9.6,2020
HD 40307 b,0.0468,4.3123,7.17,4956,,,4,,2009
HD 40307 c,0.0799,9.6184,7.17,4956,,,6.6,,2009
HD 40307 g,0.6,197.8,7.17,4956,,,7.1,,2013
HD 40307 f,0.247,51.76,7.17,4956,,,5.2,,2013
HD 40307 d,0.1321,20.432,7.17,4956,,,9.5,,2009
HATS-30 b,0.04354,3.1743516,12.192,5943,1414,13.171,224.38798,0.543,2016
HD 213885 b,0.02012,1.008035,7.996,5978,2128,1.745,8.83,9.15,2019
HD 213885 c,0.056798,4.78503,7.996,5978,1265,,19.95,,2019
HATS-48 A b,0.03769,3.1316666,14.35,4546,955,8.967,77.23269,0.589,2020
TOI-1338 b,0.4607,95.174,11.72,6050,,6.85,33,0.56,2020
HD 27894 d,5.448,5174,9.349,,,,1721.04945,,2017
HD 27894 c,0.198,36.07,9.349,,,,51.48846,,2017
HD 27894 b,0.125,18.02,9.349,,,,211.35695,,2005
HD 27442 b,1.271,428.1,4.44,4846,,,495.8,,2000
TOI-122 b,0.0392,5.07803,,3403,471,2.72,,,2020
HATS-68 b,0.05071,3.5862202,12.276,6147,1741,13.809,410.0007,0.856,2018
WASP-145 A b,0.0261,1.7690381,,4900,1200,10.088,282.8687,1.6,2018
HD 102117 b,0.15,20.8133,7.47,5655,,,54.0311,,2005
HIP 65891 b,2.81,1084.5,6.75,5000,,,1906.98,,2015
HD 21693 b,0.1455,22.6786,7.95,5430,,,8.23,,2019
HD 21693 c,0.2586,53.7357,7.95,5430,,,17.37,,2019
HD 221287 b,1.25,456.1,7.807,6304,,,982.05,,2007
WASP-73 b,,4.08722,10.5,6030,,15.917,908.9938,,2014
AB Pic b,260,,9.128,,,,4290.5,,2005
HD 30177 b,3.704,2527.83,8.397,5607,,,2740.33026,,2002
HD 30177 c,9.89,11613,8.397,5607,,,2415.508,,2016
HD 101930 b,0.3,70.46,8.21,5108,,,79.4575,,2005
TOI-824 b,0.02177,1.392978,11.153,4600,1253,2.926,18.467,4.03,2020
GJ 422 b,0.111,20.129,11.55,,,,11.07,,2014
TOI-481 b,0.097,10.33111,10.04,5735,1370,11.097,486.2799,,2020
HD 219666 b,0.06356,6.03607,,5527,1073,4.71,16.6,0.87,2018
eps Ind A b,11.55,16510,4.69,,,,1032.9475,,2019
HD 154857 b,1.29,408.60001,7.238,5589,,,778.6835,,2004
HD 154857 c,5.36,3452,7.238,5589,,,819.97,,2014
HD 2039 b,2.2,1120,9,5945,,,1999.1507,,2002
HD 95338 b,0.262,55.087,8.611,5212,385,3.89,42.44,3.98,2020
HD 215497 c,1.282,567.94,8.96,5110,,,104.3,,2009
HD 215497 b,0.05,3.93404,8.96,5110,,,6.3566,,2009
GJ 1252 b,0.00916,0.5182349,12.193,3458,1089,1.193,2.09,,2020
HD 154672 b,0.6,163.94,8.21,5743,,,1706.7471,,2008
HATS-49 b,0.04515,4.1480467,14.998,4405,835,8.575,112.19399,0.986,2020
HATS-46 b,0.05367,4.7423729,13.634,5495,1054,10.122,54.98459,0.28,2018
HD 121504 b,0.33,63.33,7.517,6027,,,479.9233,,2003
HD 106906 b,650,,7.797,6516,1800,,3496,,2013
WASP-46 b,0.02335,1.43036763,12.9,5600,1636,13.159,607.0553,1.467,2011
WASP-97 b,,2.07276,,5640,,12.778,432.2488,,2014
HATS-33 b,0.03727,2.5495551,11.911,5659,1429,13.787,378.85336,0.79,2016
LHS 1815 b,0.0404,3.81433,12.15,3643,617,1.088,8.7,,2020
2MASS J01033563-5515561 AB b,84,,,,,,4131.79,,2013
HD 51608 b,0.1059,14.0726,8.17,5358,,,12.77,,2019
HD 51608 c,0.3809,95.9446,8.17,5358,,,14.31,,2019
HATS-29 b,0.05475,4.6058749,12.612,5670,1212,14.022,207.54299,0.411,2016
HIP 65 A b,0.01782,0.9809734,11.13,4590,1411,22.754,1021.18779,0.48,2020
HD 211970 b,0.143,25.201,8.99,4127,,,13,,2019
HIP 8541 b,2.8,1560.2,7.88,4670,,,1748.065,,2016
HD 63765 b,0.94,358,8.1,5449,,,168.4499,,2009
GJ 3082 b,0.079,11.949,11.077,,,,8.2,,2020
HD 10647 b,2.015,989.2,5.52,6218,,,298.75,,2006
GJ 163 d,1.0304,603.95116,11.81,3500,,,29.4,,2013
GJ 163 b,0.0607,8.63182,11.81,3500,,,10.6,,2013
GJ 163 c,0.1254,25.63058,11.81,3500,,,6.8,,2013
HD 23079 b,1.6,730.59998,7.12,5974,,,829.5363,,2001
WASP-87 b,0.02946,1.682795,,6450,,15.524,692.8694,,2016
HIP 71135 b,0.335,87.19,10.542,4146,,,18.8,,2019
HD 113538 b,1.24,663.2,9.057,4462,,,114.41,,2010
HD 113538 c,2.44,1818,9.057,4462,,,295.57,,2010
KELT-15 b,,3.32944,11.189,6003,,19.504,416.3573,,2016
TOI-270 b,0.0306,3.36008,12.62,3386,528,1.247,,,2019
TOI-270 c,0.0472,5.660172,12.62,3386,424,2.42,,,2019
TOI-270 d,0.0733,11.38014,12.62,3386,340,2.13,,,2019
HD 126525 b,1.837,960.41,7.847,5638,,,75.32571,,2018
HD 160691 c,5.235,4205.8,5.15,,,,576.519,,2004
HD 160691 d,0.09094,9.6386,5.15,,,,10.5547,,2004
HD 160691 e,0.921,310.55,5.15,,,,165.8685,,2006
HD 160691 b,1.497,643.25,5.15,,,,532.68308,,2000
GJ 676 A c,6.6,7337,9.58,3734,,,2161.244,,2016
GJ 676 A e,,35.39,9.58,3734,,,8.1,,2012
GJ 676 A d,,3.6005,9.58,3734,,,4.4,,2012
GJ 676 A b,1.82,1056.80005,9.58,3734,,,1576.4368,,2010
HIP 65426 b,92,,6.982,8840,1500,16.814,2860.47,,2017
bet Pic b,9.1,7665,3.85,,,,,,2008
bet Pic c,2.7,1200,3.85,,,,2860.47,,2019
GJ 86 b,0.11,15.76491,6.12,5182,,,1404.8086,,1999
HR 810 b,0.92,302.79999,5.41,6167,,,721.4741,,1999
WASP-105 b,0.075,7.87288,12.1,5070,900,10.761,572.094,2.65,2017
HD 28254 b,2.15,1116,7.684,5664,,,368.67,,2010
TOI-677 b,0.1038,11.2366,9.8,6295,1252,13.115,392.83788,,2020
HD 103197 b,0.25,47.84,9.391,5250,,,28.6047,,2009
WASP-117 b,,10.02165,10.15,6040,,11.882,95.349,,2014
HD 564 b,1.2,492.3,8.29,5902,,,104.88,,2014
HD 206255 b,0.461,96.045,7.618,5635,,,34.2,,2019
HATS-23 b,0.03397,2.1605156,13.901,5780,1654,20.849,467.2101,0.29,2017
WASP-99 b,,5.75251,,6150,,11.433,772.3269,,2014
HD 330075 b,0.04,3.38773,9.334,5000,,,152.5584,,2004
IC 4651 9122 b,2.038,734,,,,,2002.329,,2018
HD 85390 b,1.373,799.52,8.526,5186,,,31.46517,,2009
HATS-47 b,0.04269,3.9228038,14.829,4512,853,12.52,117.27927,0.331,2020
HD 213240 b,1.89,882.70001,6.814,5979,,,1773.4914,,2001
DENIS-P J082303.1-491201 b,0.36,246.36,,,,,9057.77,,2013
HATS-28 b,0.04131,3.1810781,13.934,5498,1253,13.384,213.58176,0.48,2016
HD 142 b,1.02,349.7,5.7,6245,,,397.27,,2001
HD 142 c,6.8,6005,5.7,6245,,,1684.4,,2012
GJ 832 b,3.56,3657,8.66,3472,,,216,,2008
GJ 832 c,0.163,35.68,8.66,3472,,,5.4,,2014
HATS-58 A b,0.05798,4.2180896,11.552,7175,1721,12.274,327.3649,0.96,2019
RR Cae b,5.3,4343.5,,,,,1334.886,,2012
HD 216435 b,2.56,1311,6.03,5999,,,400.4,,2002
HD 156411 b,1.88,842.2,6.673,5900,,,235.18,,2009
HD 48265 b,1.814,778.51,8.051,5733,,,484.69075,,2008
WASP-88 b,,4.954,11.4,6430,,16.365,133.4886,,2014
HD 136352 d,0.4285,107.63,5.65,5850,433,,10.5,,2019
HD 136352 b,0.0969,11.57779,5.65,5850,911,1.482,4.62,7.8,2019
HD 136352 c,0.1729,27.5909,5.65,5850,682,2.608,11.29,3.5,2019
HD 41004 B b,,1.3283,,,,,5838.29,,2003
HD 41004 A b,,963,8.65,5010,,,807.25,,2004
WASP-95 b,,2.18467,,5830,,13.787,457.6752,,2014
TOI-540 b,0.01223,1.2391491,14.492,3216,611,0.903,,,2020
HATS-17 b,0.1308,16.254611,12.39,5846,814,8.709,425.25654,3.5,2016
WASP-96 b,0.0453,3.4252602,,5540,1285,13.45,152.55,0.37,2014
HD 117618 b,0.18,25.8,7.169,5990,,,55.30242,,2004
WASP-172 b,0.0694,5.477433,,6900,1740,17.598,149.3801,0.16,2018
GJ 1132 b,0.0153,1.628931,13.49,3270,529,1.13,1.66,6.3,2015
GJ 1132 c,0.0476,8.929,13.49,3270,300,,2.64,,2018
KELT-10 b,0.0525,4.1662739,10.854,5948,1377,15.681,215.80657,0.308,2016
GJ 674 b,0.039,4.6938,9.37,3600,,,11.09,,2007
WASP-168 b,0.0519,4.153658,,6000,1340,16.814,133.4886,0.16,2018
HD 13724 b,12.4,14763.405,7.89,5868,,,8508.3091,,2019
HATS-27 b,0.0611,4.637038,12.766,6438,1659,16.814,168.4499,0.18,2016
HIP 70849 b,20.25,17337.5,10.36,4105,,,2860,,2009
HD 152079 b,4.187,2918.92,9.182,5907,,,845.74563,,2009
HD 148156 b,2.45,1027,7.689,6308,,,270.144,,2009
WASP-132 b,0.067,7.133521,12.4,4775,763,9.752,130.3103,0.84,2016
HATS-67 b,0.03032,1.6091788,13.653,6594,2193,18.887,460.8535,0.374,2018
WASP-120 b,0.0514,3.6112706,11,6450,1880,16.511,1541.4755,2,2016
HATS-56 b,0.06043,4.324799,11.578,6536,1902,18.921,191.33366,0.155,2019
WASP-18 c,0.035,2.1558,9.303,6400,,,55.2,,2019
WASP-18 b,0.02,0.94124,9.303,6400,,,3314.82,,2009
WASP-19 b,0.01634,0.78883899,12.59,5568,2520,15.603,339.76027,0.492,2009
Kapteyn c,0.311,121.54,8.845,3550,,,7,,2014
HATS-54 b,0.03763,2.5441828,13.913,5702,1625,11.96,241.5508,0.77,2019
GJ 1061 b,0.021,3.204,13.06,2953,,,1.37,,2020
GJ 1061 c,0.035,6.689,13.06,2953,,,1.74,,2020
GJ 1061 d,0.054,13.031,13.06,2953,,,1.64,,2020
HD 143361 b,1.988,1039.15,9.2,5507,,,1122.57556,,2008
GJ 682 b,0.08,17.478,10.97,3028,,,4.4,,2014
GJ 682 c,0.176,57.32,10.97,3028,,,8.7,,2014
GJ 27.1 b,0.101,15.819,11.42,3542,,,13,,2014
WASP-171 b,0.0504,3.8186244,,5965,1642,10.985,344.52772,1.5,2019
HD 85512 b,0.26,58.43,7.67,4300,,,3.1783,,2011
TOI-132 b,0.026,2.1097019,,5397,1395,3.42,22.4,3.08,2020
HD 153950 b,1.28,499.39999,7.39,6124,,,937.5985,,2008
HD 83443 b,0.04,2.9857,8.222,5442,,,108.0622,,2002
HD 159868 b,2.32,1184.1,7.24,5534,,,704.94694,,2006
HD 159868 c,1.032,351,7.24,5534,,,244.09344,,2012
HD 20794 e,0.509,147.02,4.27,5401,,,4.77,,2017
HD 20794 b,0.1207,18.315,4.27,5401,660,,2.7,,2011
HD 20794 c,0.2036,40.114,4.27,5401,508,,2.4,,2011
HD 20794 d,0.3499,90.309,4.27,5401,388,,4.8,,2011
Lupus-TR-3 b,0.0464,3.91405,,5000,,9.976,257.431,1.4,2007
WASP-23 b,0.0376,2.9444256,,5150,,10.783,280.95,,2010
WASP-178 b,0.0558,3.3448285,,9360,2470,20.288,527.5978,0.37,2019
HD 166724 b,5.42,5144,9.344,5127,,,1121.89,,2012
WASP-130 b,0.1012,11.55098,11.1,5625,833,9.976,390.9309,2.34,2016
KELT-14 b,0.03005,1.7100566,11,5720,1970,19.537,408.09372,0.322,2016
WASP-42 b,0.0561,4.9816819,12.57,5315,1021,12.576,167.49641,0.464,2012
WASP-129 b,0.0628,5.748145,12.3,5900,1100,10.424,317.83,1.6,2016
WASP-4 b,0.0226,1.33823147,12.5,5400,,14.807,376.94638,,2007
HD 27631 b,3.242,2198.14,8.243,5737,,,474.83802,,2012
WASP-182 b,0.0451,3.3769848,,5638,1479,9.528,47.03884,0.318,2019
HD 75289 b,0.05,3.50927,6.35,6117,,,155.7367,,1999
TOI-1130 b,0.04394,4.066499,11.368,4250,810,3.65,,,2020
TOI-1130 c,0.07098,8.350381,11.368,4250,637,16.814,309.56642,0.38,2020
HIP 74890 b,2.1,822.3,7.05,4850,,,762.792,,2016
PDS 70 b,20,,12.233,3972,1204,30.488,953.49,,2018
PDS 70 c,34,,12.233,3972,995,22.866,635.66,,2019
WASP-174 b,0.0559,4.2337,,6400,1490,14.572,413.179,,2018
HD 73526 c,1.03,379.1,8.971,5601,,,715.09,,2005
HD 73526 b,0.65,188.3,8.971,5601,,,978.9164,,2002
WASP-139 b,0.062,5.924262,12.4,5310,910,8.967,37.18611,0.31,2016
WASP-5 b,0.0267,1.6284279,12.3,5700,1706,12.184,502.15,1.64,2008
HD 8535 b,2.45,1313,7.7,6136,,,216.1244,,2010
HIP 107772 b,0.243,55.199,10.54,,,,12.9,,2020
HD 210193 b,1.487,649.918,7.823,5790,,,153.1,,2019
HIP 67522 b,,6.959503,9.802,5675,1174,10.07,,,2020
HD 109749 b,0.0615,5.239891,8.08,5824,,,85.8141,,2005
WASP-190 b,0.0663,5.367753,,6400,1500,12.89,317.83,,2019
HD 102365 b,0.46,122.1,4.91,5630,,,16,,2010
HD 125595 b,0.08,9.6737,9.03,4691,,,6.3566,,2009
HD 162020 b,0.08,8.4282,9.1,4723,,,3127.4472,,2002
WASP-144 b,0.0316,2.2783152,,5200,1260,9.528,139.8452,0.95,2018
WASP-29 b,,3.92273,,4800,,8.631,73.1009,,2010
HIP 67537 b,4.91,2556.5,6.44,4985,,,3527.913,,2017
TOI-763 b,0.06,5.6057,10.156,5450,1038,2.28,9.79,4.51,2020
TOI-763 c,0.1011,12.2737,10.156,5450,800,2.63,9.32,2.82,2020
HD 70642 b,3.318,2124.54,7.169,5732,,,633.43519,,2003
2MASS J12073346-3932539 b,46,,20.15,,1150,,1271,,2004
HD 6434 b,0.14,21.998,7.71,5769,,,155.7367,,2003
2MASS J02192210-3925225 b,156,,,3064,,16.141,4417.837,,2015
WASP-7 b,0.0617,4.9546416,9.51,6400,1487,14.908,305.1168,0.55,2008
HD 147513 b,1.32,528.4,5.39,5883,,,385,,2003
WASP-121 b,0.02544,1.2749255,10.44,6459,2358,20.905,375.99289,0.243,2016
HD 92987 b,9.62,10354.8375,7.03,5770,,,5364.9704,,2019
WASP-159 b,0.0538,3.840401,,6120,1850,15.468,174.8065,0.28,2018
WASP-192 b,0.0408,2.8786765,,5910,1620,13.787,731.009,1.62,2019
WASP-63 b,,4.37808,11.2,5550,,15.805,117.5971,,2012
HD 55696 b,3.18,1827,7.95,6012,,,1230.0021,,2018
HD 4113 b,1.28,526.62,7.881,5688,,,495.79,,2007
HIP 105854 b,0.81,184.2,5.64,4780,,,2606.1,,2014
HD 177565 b,0.246,44.505,6.16,,,,15.1,,2017
HD 114613 b,5.34,4000,4.85,5641,,,113.46531,,2014
HD 187085 b,2.1,1019.74,7.225,6117,,,265.70588,,2006
HD 208487 b,0.524,130.08,7.471,6067,,,165.265,,2004
LTT 9779 b,0.01679,0.792052,9.758,5443,1978,4.72,29.32,1.536,2020
NGTS-1 b,0.0326,2.647298,15.524,3916,790,14.908,258.07796,0.42,2017
WASP-45 b,0.03963,3.126089,12,5150,1153,10.604,306.38812,1.418,2011
GJ 887 b,0.068,9.262,7.335,3688,468,,4.2,,2020
GJ 887 c,0.12,21.789,7.335,3688,352,,7.6,,2020
WASP-133 b,0.0345,2.176423,12.9,5700,1790,13.563,368.6828,0.88,2016
NGTS-3 A b,0.023,1.6753728,14.642,5600,,16.589,756.4354,0.31,2018
GQ Lup b,100,,12.43,,2650,33.6,6356,,2004
NGTS-12 b,0.0757,7.532806,12.382,5690,1257,11.747,66.10864,0.223,2020
HD 117207 b,3.787,2621.75,7.24,5732,,,612.14058,,2004
WASP-167 b,0.0365,2.0219596,,7000,2329,17.71,2542.64,,2017
HD 190647 b,2.231,1176.45,7.779,5656,,,630.89255,,2007
HIP 67851 c,3.82,2131.8,6.17,4890,,,1900.6234,,2015
HIP 67851 b,0.46,88.9,6.17,4890,,,438.6054,,2015
HD 114386 b,1.73,937.70001,8.73,4836,,,362.3262,,2003
WASP-8 c,5.28,4323,9.79,5600,,,3003.37,,2013
WASP-8 b,,8.15872,9.79,5600,,12.666,807.2882,,2010
MOA-2009-BLG-266L b,3.2,2774,,,,,10.4,,2011
GJ 667 C g,0.549,256.2,10.22,3350,,,4.6,,2013
GJ 667 C f,0.156,39.026,10.22,3350,,,2.7,,2013
GJ 667 C e,0.213,62.24,10.22,3350,,,2.7,,2013
GJ 667 C c,0.125,28.14,10.22,3350,,,3.8,,2011
GJ 667 C b,0.0505,7.2004,10.22,3350,,,5.6,,2011
WASP-66 b,,4.08605,11.6,6600,,15.693,746.9005,,2012
MOA-2008-BLG-310L b,1.61,,,,,,23.4,,2009
OGLE-2008-BLG-092L b,18,,,,,,56.6,,2014
OGLE-2005-BLG-071L b,3.6,,,,55,,1207.7,,2005
WASP-173 A b,0.0248,1.38665318,11.102,5800,1880,13.451,1172.7927,2.84,2018
HD 16417 b,0.14,17.24,5.78,,,,22.1,,2008
HD 73267 b,2.187,1245.36,8.889,5387,,,984.31951,,2008
DMPP-2 b,0.0664,5.2072,8.567,6500,1000,,138.89171,,2019
WASP-98 b,0.03762,2.96264036,,5473,1171,12.823,293.03926,0.764,2014
WASP-94 A b,,3.95019,10.1,6170,,17.71,158.915,,2014
WASP-94 B b,0.0335,2.00839,10.5,6040,,,196.411,,2014
WASP-175 b,0.04403,3.0652907,,6229,1571,13.54,314.6517,0.74,2019
MOA-2009-BLG-387L b,1.8,1982,,,,,826.358,,2010
HD 50499 b,3.833,2447.1,7.207,6102,,,519.96988,,2005
HD 50499 c,9.02,8619.9,7.207,6102,,,931.2419,,2019
HATS-66 b,0.04714,3.1414391,14.095,6626,1998,15.816,1694.0339,2.34,2018
HATS-53 b,0.04753,3.8537768,13.79,5644,1312,15.02,189.10885,0.303,2017
OGLE-2016-BLG-1227L b,3.4,,,,,,251.0857,,2020
HD 20868 b,0.95,380.85001,9.92,4802,,,397.2875,,2008
HD 93083 b,0.477,143.58,8.3,4995,,,117.59,,2005
HD 147873 b,0.522,116.596,7.96,5972,,,1633.6462,,2016
HD 147873 c,1.36,491.54,7.96,5972,,,731.009,,2016
KMT-2018-BLG-1292L b,6.03,,,,,,1404.8086,,2020
HATS-42 b,0.03689,2.292102,13.617,6060,1856,15.693,597.5204,0.83,2018
KMT-2017-BLG-1146L b,1.6,,,,,,225.6593,,2019
HD 181720 b,1.85,956,7.849,5736,,,127.132,,2009
WASP-123 b,0.04263,2.9776412,11.1,5740,1520,14.773,285.72917,0.521,2016
WASP-64 b,0.02648,1.5732918,12.29,5400,1689,14.247,403.945,0.823,2012
HATS-55 b,0.05412,4.2042001,13.47,6214,1367,14.022,292.72143,0.587,2019
OGLE-2015-BLG-1649L b,2.07,,,,,,807.2882,,2019
GJ 433 d,0.178,36.059,9.806,,,,5.223,,2020
GJ 433 b,0.062,7.3705,9.806,,,,6.043,,2011
GJ 433 c,4.819,5094.105,9.806,,,,32.422,,2014
HD 47536 b,1.93,712.13,5.25,4424,,,2330,,2002
OGLE-2007-BLG-368L b,3.3,,17.71,,,,20,,2009
WASP-15 b,,3.7521,11,6300,,15.805,171.6282,,2009
MOA-2012-BLG-505L b,0.9,,,,,,6.7,,2017
OGLE-2018-BLG-0677L b,0.63,,,,,,3.96,,2020
OGLE-2017-BLG-0373L b,2.424,,,,,,127.44983,,2018
HD 114729 b,2.067,1121.79,6.687,5844,,,262.20975,,2002
